model,k,O_TPR,O_TNR,O_ACC,O_GMEAN,M_TPR,M_TNR,M_ACC,M_GMEAN,D_ACC,D_GMEAN
para,100,99.1,99.5,99.3,99.3,97.04,99.5,98.27,98.26,-1.04,-1.05
para,125,99.04,99.42,99.23,99.23,97.12,99.42,98.27,98.26,-0.97,-0.98
para,150,99.02,99.48,99.25,99.25,96.98,99.48,98.23,98.22,-1.03,-1.04
para,175,99.14,99.52,99.33,99.33,97.4,99.52,98.46,98.45,-0.88,-0.89
para,200,99.18,99.5,99.34,99.34,97.42,99.5,98.46,98.45,-0.89,-0.9
para,250,99.24,99.54,99.39,99.39,97.62,99.54,98.58,98.58,-0.81,-0.81
para,500,99.38,99.56,99.47,99.47,97.76,99.56,98.66,98.66,-0.81,-0.81
para,1000,99.48,99.62,99.55,99.55,97.88,99.62,98.75,98.75,-0.8,-0.8
para,2000,99.46,99.54,99.5,99.5,97.56,99.54,98.55,98.55,-0.95,-0.95
para,5000,99.24,99.14,99.19,99.19,96.74,99.14,97.94,97.93,-1.26,-1.27
